Categoria;EAN;Marca;Producto;Precio;Supermercado;Enlace;Imagen;Archivo_Imagen
Bebidas y Licores;"=""7802800544332""";Sin Marca;Néctar Manzana 0% Azúcar Livean 200Cc;399;Eltit;https://super.eltit.cl/products/nectar-livean-200-manzana;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/529748f4/1067915-manzana_200.JPG;7802800544332.jpg
Bebidas y Licores;"=""7802800544349""";Sin Marca;Néctar Piña 0% Azúcar Livean 200Cc;399;Eltit;https://super.eltit.cl/products/nectar-livean-200-pina;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/5623f56a/1069251-pi%C3%B1a_200.JPG;7802800544349.jpg
Bebidas y Licores;"=""7802800544615""";Sin Marca;Néctar Naranja 0% Azúcar Livean 1.5Lt;2399;Eltit;https://super.eltit.cl/products/nectar-livean-pet-1-5lt-naranja;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/81dc2925/1068022-naranja_livean.JPG;7802800544615.jpg
Bebidas y Licores;"=""7802800544622""";Sin Marca;Néctar Durazno 0% Azúcar Livean 1.5Lt;2399;Eltit;https://super.eltit.cl/products/nectar-livean-pet-1-5lt-durazno;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/98181a20/1068031-durazno_livean.JPG;7802800544622.jpg
Bebidas y Jugos;"=""7802800544639""";Cugat;Néctar Livean Sabor Manzana 0% Azúcar, 1.5Lts.;1790;Cugat;https://cugat.cl/producto/nectar-livean-manzana-0-azucar-1-5-l/;https://cugat.cl/wp-content/uploads/2021/08/cugat.cl-nectar-de-manzana-0-azucar-livean-1-5lts-247x296.png;7802800544639.jpg
Bebidas y Licores;"=""7802800544653""";Sin Marca;Néctar Frutiarándano 0% Azúcar Livean 1.5Lt;2399;Eltit;https://super.eltit.cl/products/nectar-livean-pet-1-5lt-arandano;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/d538e220/1067958-frutiarandano.JPG;7802800544653.jpg
Bebidas y Licores;"=""7802800544684""";Sin Marca;Néctar Piña 0% Azúcar Livean 1.5Lt;2399;Eltit;https://super.eltit.cl/products/nectar-livean-pet-1-5lt-pina;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/9dcc08d6/1068037-pi%C3%B1a_livean.JPG;7802800544684.jpg
Lácteos y Quesos;"=""7802800563012""";Sin Marca;Crema Chantilly Van-Cook 60Gr;999;Eltit;https://super.eltit.cl/products/crema-chantilly-60gr;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/795dbf21/858999-VAN-COOK-CHANTILLY.jpg;7802800563012.jpg
Lácteos y Quesos;"=""7802800563210""";Sin Marca;Crema Pastelera En Polvo Van-Cook 72Gr;850;Eltit;https://super.eltit.cl/products/crema-pastelera-van-cook-76gr;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/05105008/858542-7802800563210.jpg;7802800563210.jpg
Lácteos y Quesos;"=""7802800567010""";Sin Marca;Gelatina Naranja 0% Azúcar Livean 22Gr;899;Eltit;https://super.eltit.cl/products/gel-livean-22gr-naranja;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/9114e867/1085345-Livean_Naranja_20_G.JPG;7802800567010.jpg
Lácteos y Quesos;"=""7802800567027""";Sin Marca;Gelatina Piña 0 Azúcar Livean 22Gr;899;Eltit;https://super.eltit.cl/products/gel-livean-22gr-pina;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/db1aa830/855504-Gelatina-Livean-Caja-22-g-Sin-azucar-Pina-1.jpg;7802800567027.jpg
Lácteos y Quesos;"=""7802800567058""";Sin Marca;Gelatina Berries 0% Azúcar Livean 22Gr;899;Eltit;https://super.eltit.cl/products/gel-livean-22gr-berries;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/81c93620/855093-wmtcl-1.jpg;7802800567058.jpg
Bebidas y Licores;"=""7802800576418""";Sin Marca;Jugo Instantáneo En Polvo Naranja Livean 7Gr;250;Eltit;https://super.eltit.cl/products/bebida-instlivean-9gr-naranja;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/6a5cd1ba/1068150-polvo_naranja.JPG;7802800576418.jpg
Bebidas y Licores;"=""7802800576432""";Sin Marca;Jugo Instantáneo En Polvo Manzana Verde Livean 7Gr;250;Eltit;https://super.eltit.cl/products/bebida-inst-livean-9gr-manzana-verde;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/5a47c575/1068148-polvo_manzana_verde.JPG;7802800576432.jpg
Bebidas y Licores;"=""7802800576449""";Sin Marca;Jugo Instantáneo En Polvo Durazno Livean 7Gr;250;Eltit;https://super.eltit.cl/products/bebida-instlivean-9gr-durazno;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/76dcaa1b/1068155-polvo_durazno.JPG;7802800576449.jpg
Bebidas y Licores;"=""7802800576456""";Sin Marca;Jugo Instantáneo En Polvo Piña Livean 7Gr;250;Eltit;https://super.eltit.cl/products/bebida-instlivean-7gr-pina;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/de846734/1068151-polvo_pi%C3%B1a.JPG;7802800576456.jpg
Bebidas y Licores;"=""7802800576517""";Sin Marca;Jugo Instantáneo En Polvo Frutilla Livean 7Gr;250;Eltit;https://super.eltit.cl/products/bebida-instlivean-7gr-frutilla;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/333c657c/1068153-polvo_frutilla.JPG;7802800576517.jpg
Bebidas y Licores;"=""7802800576692""";Sin Marca;Jugo Instantáneo En Polvo Pera Agua Livean 7Gr;250;Eltit;https://super.eltit.cl/products/bebida-inst-livean-9gr-pera-agua;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/23862ba1/1068149-polvo_pera_agua.JPG;7802800576692.jpg
